Continent,Country Code,Country Name,% of GDP Spent on Healthcare,Hospital Density per 100000 population,,,,,,,
Europe,POL,Poland,6.49310207,0.94,,,,,,,
Asia,KOR,South Korea,8.36409569,3.42,,,,,,,
Europe,ROU,Romania,6.27236223,1.68,,,,,,,
Americas,KNA,St. Kitts and Nevis,5.36557055,7.38,,,,,,,
Americas,LCA,St. Lucia,6.7380271,1.65,,,,,,,
Americas,VCT,St. Vincent and the Grenadines,4.81775093,0,,,,,,,
Asia,WSM,Samoa,5.32613707,4.2,,,,,,,
Europe,SMR,San Marino,8.69089031,3.18,,,,,,,
Asia,SAU,Saudi Arabia,5.54,1.04,,,,,,,
Africa,SEN,Senegal,5.15119171,0.16,,,,,,,
Europe,SRB,Serbia,8.73161697,1.09,,,,,,,
Africa,SYC,Seychelles,6.38917351,1.08,,,,,,,
Asia,SGP,Singapore,6.05388212,0.5,,,,,,,
Europe,SVK,Slovak Republic,7.23213387,1.54,,,,,,,
Europe,SVN,Slovenia,9.45357895,1.25,,,,,,,
Africa,ZAF,South Africa,8.58329773,0.67,,,,,,,
Europe,ESP,Spain,10.71374989,1.63,,,,,,,
Asia,LKA,Sri Lanka,4.06584978,0.099,,,,,,,
Asia,SDN,Sudan,3.01747656,1.35,,,,,,,
Americas,SUR,Suriname,6.77187824,0.37,,,,,,,
Europe,TJK,Tajikistan,8.17697811,4.68,,,,,,,
Asia,THA,Thailand,4.35930967,1.84,,,,,,,
Africa,TGO,Togo,5.96301126,0.6,,,,,,,
Asia,TON,Tonga,5.31753922,3.8,,,,,,,
Asia,TUN,Tunisia,6.34364796,2.33,,,,,,,
Europe,TUR,Turkiye,4.61794329,1.55,,,,,,,
Asia,TUV,Tuvalu,21.53916931,0.016,,,,,,,
Africa,UGA,Uganda,3.96206594,0.4,,,,,,,
Americas,URY,Uruguay,9.15207481,3.93,,,,,,,
Asia,VUT,Vanuatu,3.96995449,2.37,,,,,,,
Asia,YEM,"Yemen, Rep.",5.983,2.97,,,,,,,
Africa,ZMB,Zambia,5.61788416,0.45,,,,,,,
Africa,ZWE,Zimbabwe,3.42558146,0.52,,,,,,,
